seed,source_timestep,target_timestep,depth,state_gap,prediction_gap,oracle_error,self_error,delta_error,unconditioned_elements
0,90,89,1,2.903851964219939e-06,2.844891469067079e-06,0.00017057170043699443,0.00014071162149775773,-2.98600789392367e-05,19968
0,90,88,2,1.0302538612450007e-05,9.985525139200035e-06,0.00017312208365183324,0.00011948326573474333,-5.363881791708991e-05,19968
0,90,86,4,3.332218329887837e-05,3.2504878618055955e-05,0.0001813130802474916,9.184594819089398e-05,-8.946713205659762e-05,19968
0,50,49,1,2.412062656276248e-07,4.889064939561649e-07,0.0003791179333347827,0.0003582246135920286,-2.0893319742754102e-05,19968
0,50,48,2,9.417047976967297e-07,1.7426310705559445e-06,0.0003909016668330878,0.00034921939368359745,-4.1682273149490356e-05,19968
0,50,46,4,3.6068615827389294e-06,6.88148566041491e-06,0.0004162956611253321,0.00033207409433089197,-8.422156679444015e-05,19968
0,10,9,1,7.784115041431505e-07,1.4744169675395824e-05,0.003471422242000699,0.0030657039023935795,-0.00040571833960711956,19968
0,10,8,2,3.103999233644572e-06,6.724290869897231e-05,0.003964381758123636,0.003068003337830305,-0.0008963784202933311,19968
0,10,6,4,1.2399527804518584e-05,0.00036851404001936316,0.005443146452307701,0.003183156717568636,-0.002259989734739065,19968
1,90,89,1,2.4122696231643204e-06,2.3491888896387536e-06,0.00018675993487704545,0.00014992938668001443,-3.683054819703102e-05,19968
1,90,88,2,8.726179657969624e-06,8.353912562597543e-06,0.00019016474834643304,0.00012274789332877845,-6.74168550176546e-05,19968
1,90,86,4,2.931021481344942e-05,2.801498703774996e-05,0.000200620896066539,8.468791202176362e-05,-0.00011593298404477537,19968
1,50,49,1,2.3388172110117011e-07,4.225588554618298e-07,0.0004741144075524062,0.0004491241998039186,-2.4990207748487592e-05,19968
1,50,48,2,9.23657466955774e-07,1.4894752666805289e-06,0.0004885579110123217,0.0004385255160741508,-5.003239493817091e-05,19968
1,50,46,4,3.6039837141288444e-06,5.865015737072099e-06,0.0005187065107747912,0.0004175543144810945,-0.00010115219629369676,19968
1,10,9,1,7.869842875152244e-07,1.4599698261008598e-05,0.0035140227992087603,0.0031177191995084286,-0.0003963035997003317,19968
1,10,8,2,3.1469248824578244e-06,6.64731560391374e-05,0.004015823360532522,0.0031412625685334206,-0.0008745607919991016,19968
1,10,6,4,1.2662198969337624e-05,0.0003651753067970276,0.005530999973416328,0.0033150766976177692,-0.002215923275798559,19968
2,90,89,1,2.177540636694175e-06,2.1465741610882105e-06,0.0001695515966275707,0.00013614314957521856,-3.340844705235213e-05,19968
2,90,88,2,7.885601007728837e-06,7.617417395522352e-06,0.00017211145313922316,0.00011118171096313745,-6.092974217608571e-05,19968
2,90,86,4,2.6446617994224653e-05,2.5543573428876698e-05,0.00018134117999579757,7.693925726925954e-05,-0.00010440192272653803,19968
2,50,49,1,2.391635973708617e-07,4.37142887221853e-07,0.00048715114826336503,0.00046121006016619503,-2.5941088097169995e-05,19968
2,50,48,2,9.464946515436168e-07,1.5606948409185861e-06,0.0005043104174546897,0.0004517869674600661,-5.252344999462366e-05,19968
2,50,46,4,3.7072563827678096e-06,6.1017358348181006e-06,0.0005414109909906983,0.00043520101462490857,-0.00010620997636578977,19968
2,10,9,1,8.66990887971042e-07,1.4571302926924545e-05,0.0038378816097974777,0.0034321616403758526,-0.00040571996942162514,19968
2,10,8,2,3.465836698524072e-06,6.611165008507669e-05,0.004345881287008524,0.0034535019658505917,-0.0008923793211579323,19968
2,10,6,4,1.3921940080763306e-05,0.00036264778464101255,0.005852300673723221,0.003605068428441882,-0.0022472322452813387,19968
