seed,source_timestep,target_timestep,depth,state_gap,prediction_gap,oracle_error,self_error,delta_error,unconditioned_elements
0,90,89,1,2.903851964219939e-06,2.844891469067079e-06,0.006909523159265518,0.006958166137337685,4.864297807216644e-05,19968
0,90,88,2,1.0302538612450007e-05,9.985525139200035e-06,0.00577580789104104,0.005856006871908903,8.01989808678627e-05,19968
0,90,86,4,3.332218329887837e-05,3.2504878618055955e-05,0.004296908155083656,0.00441524013876915,0.00011833198368549347,19968
0,50,49,1,2.412062656276248e-07,4.889064939561649e-07,0.000388570420909673,0.00039057707181200385,2.0066509023308754e-06,19968
0,50,48,2,9.417047976967297e-07,1.7426310705559445e-06,0.00037643202813342214,0.0003805863088928163,4.154280759394169e-06,19968
0,50,46,4,3.6068615827389294e-06,6.88148566041491e-06,0.00035382897476665676,0.0003616770845837891,7.848109817132354e-06,19968
0,10,9,1,7.784115041431505e-07,1.4744169675395824e-05,9.965928620658815e-05,0.00010557391942711547,5.914633220527321e-06,19968
0,10,8,2,3.103999233644572e-06,6.724290869897231e-05,9.328449232270941e-05,0.00010553949687164277,1.2255004548933357e-05,19968
0,10,6,4,1.2399527804518584e-05,0.00036851404001936316,8.03589282440953e-05,0.0001074180327123031,2.7059104468207806e-05,19968
1,90,89,1,2.4122696231643204e-06,2.3491888896387536e-06,0.007565276697278023,0.007638315670192242,7.30389729142189e-05,19968
1,90,88,2,8.726179657969624e-06,8.353912562597543e-06,0.006344395689666271,0.00645972928032279,0.00011533359065651894,19968
1,90,86,4,2.931021481344942e-05,2.801498703774996e-05,0.0047544813714921474,0.004924347158521414,0.00016986578702926636,19968
1,50,49,1,2.3388172110117011e-07,4.225588554618298e-07,0.00048593542305752635,0.0004903119406662881,4.376517608761787e-06,19968
1,50,48,2,9.23657466955774e-07,1.4894752666805289e-06,0.000470473401946947,0.0004793960542883724,8.922652341425419e-06,19968
1,50,46,4,3.6039837141288444e-06,5.865015737072099e-06,0.0004408727400004864,0.0004586413560900837,1.7768616089597344e-05,19968
1,10,9,1,7.869842875152244e-07,1.4599698261008598e-05,0.00010088229464599863,0.00010731644579209387,6.434151146095246e-06,19968
1,10,8,2,3.1469248824578244e-06,6.64731560391374e-05,9.449494973523542e-05,0.00010788922372739762,1.3394273992162198e-05,19968
1,10,6,4,1.2662198969337624e-05,0.0003651753067970276,8.165594772435725e-05,0.00011122554133180529,2.956959360744804e-05,19968
2,90,89,1,2.177540636694175e-06,2.1465741610882105e-06,0.006868201307952404,0.006927390117198229,5.9188809245824814e-05,19968
2,90,88,2,7.885601007728837e-06,7.617417395522352e-06,0.005742090288549662,0.005836710333824158,9.462004527449608e-05,19968
2,90,86,4,2.6446617994224653e-05,2.5543573428876698e-05,0.004297574516385794,0.0044333734549582005,0.00013579893857240677,19968
2,50,49,1,2.391635973708617e-07,4.37142887221853e-07,0.0004992972244508564,0.0005034417263232172,4.144501872360706e-06,19968
2,50,48,2,9.464946515436168e-07,1.5606948409185861e-06,0.0004856428422499448,0.0004937382182106376,8.095375960692763e-06,19968
2,50,46,4,3.7072563827678096e-06,6.1017358348181006e-06,0.00046017029671929777,0.00047728457138873637,1.71142746694386e-05,19968
2,10,9,1,8.66990887971042e-07,1.4571302926924545e-05,0.00011017977521987632,0.00011815020843641832,7.970433216542006e-06,19968
2,10,8,2,3.465836698524072e-06,6.611165008507669e-05,0.00010226143058389425,0.00011866179556818679,1.6400364984292537e-05,19968
2,10,6,4,1.3921940080763306e-05,0.00036264778464101255,8.639942097943276e-05,0.00012145053915446624,3.505111817503348e-05,19968
3,90,89,1,2.2533226911036763e-06,2.2103752144175814e-06,0.006961061619222164,0.007023205514997244,6.214389577507973e-05,19968
3,90,88,2,8.19009801489301e-06,7.915093192423228e-06,0.0058333599008619785,0.005928360857069492,9.500095620751381e-05,19968
3,90,86,4,2.7680433049681596e-05,2.674451025086455e-05,0.004353920463472605,0.004494242835789919,0.00014032237231731415,19968
3,50,49,1,2.0836309033711586e-07,4.187460547200317e-07,0.00043207063572481275,0.0004343344771768898,2.263841452077031e-06,19968
3,50,48,2,8.205335575439676e-07,1.4592253592127236e-06,0.00041704424074850976,0.000422055134549737,5.010893801227212e-06,19968
3,50,46,4,3.1846136607782682e-06,5.75788317291881e-06,0.00039257726166397333,0.00040240606176666915,9.828800102695823e-06,19968
3,10,9,1,7.706065616730484e-07,1.4162013940222096e-05,9.821949788602069e-05,0.00010447113163536415,6.251633749343455e-06,19968
3,10,8,2,3.071684432143229e-06,6.452845263993368e-05,9.133380808634683e-05,0.0001042251315084286,1.2891323422081769e-05,19968
3,10,6,4,1.2242662705830298e-05,0.00035384888178668916,7.746357005089521e-05,0.00010526792902965099,2.7804358978755772e-05,19968
4,90,89,1,3.785444960158202e-06,3.7191398405411746e-06,0.007386144250631332,0.007432329468429089,4.6185217797756195e-05,19968
4,90,88,2,1.39574867716874e-05,1.3595309610536788e-05,0.006209630519151688,0.0062874602153897285,7.782969623804092e-05,19968
4,90,86,4,4.8493693611817434e-05,4.754741894430481e-05,0.004693102091550827,0.004814851097762585,0.00012174900621175766,19968
4,50,49,1,6.34073785477085e-07,1.2047808013448957e-06,0.000539434258826077,0.0005433298647403717,3.89560591429472e-06,19968
4,50,48,2,2.4437820229650242e-06,4.555754912871635e-06,0.0005238421144895256,0.0005319546908140182,8.112576324492693e-06,19968
4,50,46,4,9.164462426269893e-06,1.782488288881723e-05,0.0004967807326465845,0.000513337436132133,1.6556703485548496e-05,19968
4,10,9,1,1.0974289352816413e-06,1.9258908650954254e-05,0.0001247592008439824,0.00013394538837019354,9.186187526211143e-06,19968
4,10,8,2,4.31683247370529e-06,8.497096132487059e-05,0.0001150273674284108,0.00013412146654445678,1.909409911604598e-05,19968
4,10,6,4,1.6772914023022167e-05,0.00043964883661828935,9.556824807077646e-05,0.00013662227138411254,4.1054023313336074e-05,19968
