seed,source_timestep,target_timestep,depth,state_gap,prediction_gap,oracle_error,self_error,delta_error,unconditioned_elements
0,90,88,1,8.873737897374667e-06,8.5885831140331e-06,0.00577580789104104,0.005868193693459034,9.238580241799355e-05,19968
0,90,86,2,2.946069980680477e-05,2.8520500563899986e-05,0.004296908155083656,0.0044308677315711975,0.0001339595764875412,19968
0,90,82,4,8.723850623937324e-05,8.634375262772664e-05,0.0026402014773339033,0.002793342573568225,0.0001531410962343216,19968
0,50,48,1,7.972509479259315e-07,1.4600115036955685e-06,0.00037643202813342214,0.00038050898001529276,4.076951881870627e-06,19968
0,50,46,2,3.0863488973409403e-06,5.779334969702177e-06,0.00035382897476665676,0.00036164221819490194,7.813243428245187e-06,19968
0,50,42,4,1.1502289453346748e-05,2.386268533882685e-05,0.00031411630334332585,0.00033057082328014076,1.6454519936814904e-05,19968
0,10,8,1,3.1133383799897274e-06,6.796991510782391e-05,9.328449232270941e-05,0.0001054864187608473,1.2201926438137889e-05,19968
0,10,6,2,1.2388354662107304e-05,0.00037150547723285854,8.03589282440953e-05,0.00010724860476329923,2.688967651920393e-05,19968
0,10,2,4,5.089160185889341e-05,0.0037977099418640137,4.9275891797151417e-05,0.00012032031372655183,7.104442192940041e-05,19968
1,90,88,1,9.201962711813394e-06,8.761214303376619e-06,0.006344395689666271,0.006468011997640133,0.0001236163079738617,19968
1,90,86,2,3.08708222291898e-05,2.9392223950708285e-05,0.0047544813714921474,0.0049338554963469505,0.00017937412485480309,19968
1,90,82,4,9.326214785687625e-05,9.038593270815909e-05,0.002952911891043186,0.0031629870645701885,0.00021007517352700233,19968
1,50,48,1,9.352999086331693e-07,1.5112749451873242e-06,0.000470473401946947,0.00047938295756466687,8.909555617719889e-06,19968
1,50,46,2,3.6462638490775134e-06,5.95652363699628e-06,0.0004408727400004864,0.00045858838711865246,1.771564711816609e-05,19968
1,50,42,4,1.3823979315930046e-05,2.4671315259183757e-05,0.00038589522591792047,0.0004221992858219892,3.630405990406871e-05,19968
1,10,8,1,3.1488161766901612e-06,6.713275070069358e-05,9.449494973523542e-05,0.0001078184723155573,1.3323522580321878e-05,19968
1,10,6,2,1.2609469195012935e-05,0.0003686081909108907,8.165594772435725e-05,0.00011091399937868118,2.9258051654323936e-05,19968
1,10,2,4,5.26862422702834e-05,0.003779128659516573,4.955925396643579e-05,0.0001246248430106789,7.50655890442431e-05,19968
2,90,88,1,8.333035111718345e-06,8.01416263129795e-06,0.005742090288549662,0.005842527840286493,0.00010043755173683167,19968
2,90,86,2,2.787954690575134e-05,2.6856077965931036e-05,0.004297574516385794,0.004439813084900379,0.0001422385685145855,19968
2,90,82,4,8.375292964046821e-05,8.249364327639341e-05,0.0026737970765680075,0.0028321135323494673,0.0001583164557814598,19968
2,50,48,1,9.56423946263385e-07,1.5781301954120863e-06,0.0004856428422499448,0.000493792409542948,8.149567293003201e-06,19968
2,50,46,2,3.7428526411531493e-06,6.160931206977693e-06,0.00046017029671929777,0.00047742531751282513,1.7255020793527365e-05,19968
2,50,42,4,1.4337229004013352e-05,2.5571562218829058e-05,0.0004103907849639654,0.0004467475228011608,3.6356737837195396e-05,19968
2,10,8,1,3.468932618488907e-06,6.678729550912976e-05,0.00010226143058389425,0.00011858483776450157,1.632340718060732e-05,19968
2,10,6,2,1.3880682672606781e-05,0.0003655344189610332,8.639942097943276e-05,0.00012118505401303992,3.4785633033607155e-05,19968
2,10,2,4,5.7610672229202464e-05,0.003833483438938856,5.1943239668617025e-05,0.00013672109344042838,8.477785377181135e-05,19968
3,90,88,1,8.510564839525614e-06,8.177154086297378e-06,0.0058333599008619785,0.005936622153967619,0.00010326225310564041,19968
3,90,86,2,2.856186983990483e-05,2.751295323832892e-05,0.004353920463472605,0.004499527160078287,0.00014560669660568237,19968
3,90,82,4,8.602077286923304e-05,8.468022133456543e-05,0.0026842139195650816,0.0028476277366280556,0.00016341381706297398,19968
3,50,48,1,8.332472702932137e-07,1.4819236184848705e-06,0.00041704424074850976,0.0004220675036776811,5.023262929171324e-06,19968
3,50,46,2,3.229245749025722e-06,5.832186616316903e-06,0.00039257726166397333,0.000402535661123693,9.958399459719658e-06,19968
3,50,42,4,1.2186799722258002e-05,2.4341432435903698e-05,0.0003462512686382979,0.0003665915864985436,2.0340317860245705e-05,19968
3,10,8,1,3.083286628680071e-06,6.521079922094941e-05,9.133380808634683e-05,0.00010418846795801073,1.2854659871663898e-05,19968
3,10,6,2,1.2249969586264342e-05,0.00035737978760153055,7.746357005089521e-05,0.00010510733409319073,2.7643764042295516e-05,19968
3,10,2,4,4.9776404921431094e-05,0.0037480525206774473,4.6922647015890107e-05,0.00011590954090934247,6.898689389345236e-05,19968
4,90,88,1,1.0229243343928829e-05,9.910105291055515e-06,0.006209630519151688,0.006305497605353594,9.58670862019062e-05,19968
4,90,86,2,3.49267284036614e-05,3.400259811314754e-05,0.004693102091550827,0.004831780679523945,0.00013867858797311783,19968
4,90,82,4,0.00010917904000962153,0.00010862948693102226,0.0029489670414477587,0.0031166980043053627,0.00016773096285760403,19968
4,50,48,1,1.3886177612221218e-06,2.436677050354774e-06,0.0005238421144895256,0.0005320162163116038,8.174101822078228e-06,19968
4,50,46,2,5.333805347618181e-06,9.629869055061135e-06,0.0004967807326465845,0.0005133067024871707,1.6525969840586185e-05,19968
4,50,42,4,1.962225178431254e-05,3.909568476956338e-05,0.00044624030124396086,0.000481117342133075,3.487704088911414e-05,19968
4,10,8,1,4.021068434667541e-06,7.471166463801637e-05,0.0001150273674284108,0.00013407721417024732,1.9049846741836518e-05,19968
4,10,6,2,1.5952246030792594e-05,0.00040085663204081357,9.556824807077646e-05,0.00013644021237269044,4.087196430191398e-05,19968
4,10,2,4,6.50283254799433e-05,0.004123754799365997,5.564652383327484e-05,0.00015267031267285347,9.702378883957863e-05,19968
