data_noise_seed,target_timestep,source_timestep,depth,G_state,G_pred,G_epsilon,E_q,E_self,DeltaE,G_state_X_aux,G_epsilon_X_aux,action_elements,X_unconditioned_elements_aux
0,89,90,1,3.0478743155981647e-06,2.3363768377748784e-06,2.9871771403122693e-06,0.00997927226126194,0.010040085762739182,6.0813501477241516e-05,2.903851054725237e-06,2.8433055376808625e-06,2048,19968
0,89,91,2,1.323159085586667e-05,3.5285083868075162e-06,1.2824597433791496e-05,0.00997927226126194,0.010101281106472015,0.00012200884521007538,1.279720072488999e-05,1.2289020560274366e-05,2048,19968
0,89,93,4,6.458660936914384e-05,1.0188516171183437e-05,6.208325066836551e-05,0.00997927226126194,0.010267507284879684,0.00028823502361774445,6.357610254781321e-05,6.0630634834524244e-05,2048,19968
0,49,50,1,6.685899052172317e-07,7.548126745859918e-08,1.209896481668693e-06,0.001187287038192153,0.0011932235211133957,5.936482921242714e-06,2.412062656276248e-07,4.883723363491299e-07,2048,19968
0,49,51,2,2.6415038973937044e-06,1.3413298916020722e-07,4.627047474059509e-06,0.001187287038192153,0.00119866116438061,1.1374126188457012e-05,9.600007615517825e-07,1.7405387779945158e-06,2048,19968
0,49,53,4,1.0186473446083255e-05,3.701146056300786e-07,1.7621969163883477e-05,0.001187287038192153,0.0012109623057767749,2.3675267584621906e-05,3.793991027123411e-06,6.680983005935559e-06,2048,19968
0,9,10,1,3.224861757189501e-06,6.147745352791389e-07,6.196608592290431e-05,0.0004175833018962294,0.0004418725147843361,2.4289212888106704e-05,7.784113904563128e-07,1.4747872228326742e-05,2048,19968
0,9,11,2,1.1511800039443187e-05,2.2923773030925076e-06,0.00021545284835156053,0.0004175833018962294,0.00046523805940523744,4.765475750900805e-05,2.7893240712728584e-06,5.136672189109959e-05,2048,19968
0,9,13,4,3.7613044696627185e-05,8.153738235705532e-06,0.0006704477709718049,0.0004175833018962294,0.0005098434048704803,9.226010297425091e-05,9.172391401079949e-06,0.00016211342881433666,2048,19968
1,89,90,1,3.1436832159670303e-06,2.2760445972380694e-06,3.041375975953997e-06,0.010779809206724167,0.01086545642465353,8.564721792936325e-05,2.4122680315485923e-06,2.3487580165237887e-06,2048,19968
1,89,91,2,1.3658508578373585e-05,3.778578047786141e-06,1.2977330698049627e-05,0.010779809206724167,0.010973688215017319,0.00019387900829315186,1.07881824078504e-05,1.0233500688627828e-05,2048,19968
1,89,93,4,6.76369309076108e-05,1.0918430234596599e-05,6.411756476154551e-05,0.010779809206724167,0.011206643655896187,0.00042683444917201996,5.643238182528876e-05,5.3349278459791094e-05,2048,19968
1,49,50,1,6.687637323921081e-07,1.3717583158268098e-07,1.0303725730409496e-06,0.001403323607519269,0.0014174061361700296,1.408252865076065e-05,2.3388157899262296e-07,4.232727803810121e-07,2048,19968
1,49,51,2,2.642629169713473e-06,3.8104298027974437e-07,3.895215286320308e-06,0.001403323607519269,0.001431753858923912,2.843025140464306e-05,9.277289336750982e-07,1.464985416532727e-06,2048,19968
1,49,53,4,1.0377738362876698e-05,1.3452702205540845e-06,1.5031952898425516e-05,0.001403323607519269,0.001460867002606392,5.754339508712292e-05,3.6708083825942595e-06,5.599147243628977e-06,2048,19968
1,9,10,1,2.9930765776953194e-06,7.399488595183357e-07,5.468150266096927e-05,0.0003866527113132179,0.00041212548967450857,2.5472778361290693e-05,7.869844012020621e-07,1.4598434063373134e-05,2048,19968
1,9,11,2,1.0736108379205689e-05,2.7490000320540275e-06,0.00018982362234964967,0.0003866527113132179,0.00043683702824637294,5.018431693315506e-05,2.8254164590180153e-06,5.0713566452031955e-05,2048,19968
1,9,13,4,3.5256911360193044e-05,9.585453881300054e-06,0.000594118726439774,0.0003866527113132179,0.000483377167256549,9.672445594333112e-05,9.301970749220345e-06,0.0001604235585546121,2048,19968
2,89,90,1,3.0186893127392977e-06,2.2226302007766208e-06,2.9459820325428154e-06,0.009790057316422462,0.009868284687399864,7.822737097740173e-05,2.177539499825798e-06,2.1463936263899086e-06,2048,19968
2,89,91,2,1.339354639640078e-05,3.2727464258641703e-06,1.2938453437527642e-05,0.009790057316422462,0.009944939985871315,0.00015488266944885254,9.720960406411905e-06,9.333646630693693e-06,2048,19968
2,89,93,4,6.795017543481663e-05,1.014372810459463e-05,6.525467324536294e-05,0.009790057316422462,0.01015916746109724,0.000369110144674778,5.0560218369355425e-05,4.828440796700306e-05,2048,19968
2,49,50,1,7.798902856848144e-07,1.3158403078250558e-07,1.1793416661021183e-06,0.0016443041386082768,0.0016606037970632315,1.6299658454954624e-05,2.3916356894915225e-07,4.3618061340566783e-07,2048,19968
2,49,51,2,3.0734499887330458e-06,3.5875945059160586e-07,4.434478796611074e-06,0.0016443041386082768,0.001677747000940144,3.344286233186722e-05,9.457293685954937e-07,1.5095750995897106e-06,2048,19968
