seed,source_timestep,target_timestep,total_depth,reset_depth,oracle_error,free_error,reset_error,free_minus_oracle,reset_minus_oracle,reset_gain,pre_reset_state_gap,recovery_ratio
0,90,82,4,1,0.0026402014773339033,0.002793342573568225,0.0027465284802019596,0.0001531410962343216,0.0001063270028680563,4.68140933662653e-05,8.873737897374667e-06,0.3056925575002737
0,90,82,4,2,0.0026402014773339033,0.002793342573568225,0.0027070031501352787,0.0001531410962343216,6.680167280137539e-05,8.63394234329462e-05,2.946069980680477e-05,0.5637900312587422
0,90,82,4,3,0.0026402014773339033,0.002793342573568225,0.0026727800723165274,0.0001531410962343216,3.2578594982624054e-05,0.00012056250125169754,5.657464134856127e-05,0.7872641911040296
0,90,74,8,2,0.0013204205315560102,0.0014599935384467244,0.0014116246020421386,0.00013957300689071417,9.120407048612833e-05,4.836893640458584e-05,2.946069980680477e-05,0.3465493613851765
0,90,74,8,4,0.0013204205315560102,0.0014599935384467244,0.0013742679730057716,0.00013957300689071417,5.384744144976139e-05,8.572556544095278e-05,8.723850623937324e-05,0.6141987433721765
0,90,74,8,6,0.0013204205315560102,0.0014599935384467244,0.0013443330535665154,0.00013957300689071417,2.39125220105052e-05,0.00011566048488020897,0.00015311020251829177,0.8286737346768724
0,90,58,16,4,0.0005424104165285826,0.0006479723961092532,0.0006073161493986845,0.0001055619795806706,6.490573287010193e-05,4.0656246710568666e-05,8.723850623937324e-05,0.38514100315349914
0,90,58,16,8,0.0005424104165285826,0.0006479723961092532,0.0005809922586195171,0.0001055619795806706,3.8581842090934515e-05,6.698013748973608e-05,0.00021990283858031034,0.6345100551903706
0,90,58,16,12,0.0005424104165285826,0.0006479723961092532,0.0005604529287666082,0.0001055619795806706,1.8042512238025665e-05,8.751946734264493e-05,0.00034185187541879714,0.82908133866287
0,50,42,4,1,0.00031411630334332585,0.00033057082328014076,0.0003264593833591789,1.6454519936814904e-05,1.2343080015853047e-05,4.111439920961857e-06,7.972509479259315e-07,0.24986690202751105
0,50,42,4,2,0.00031411630334332585,0.00033057082328014076,0.00032248697243630886,1.6454519936814904e-05,8.370669092983007e-06,8.083850843831897e-06,3.0863488973409403e-06,0.49128451482472635
0,50,42,4,3,0.00031411630334332585,0.00033057082328014076,0.0003184100496582687,1.6454519936814904e-05,4.293746314942837e-06,1.2160773621872067e-05,6.7097316787112504e-06,0.7390536866811822
0,50,34,8,2,0.0002526077732909471,0.0002884469286072999,0.0002804152318276465,3.5839155316352844e-05,2.7807458536699414e-05,8.03169677965343e-06,3.0863488973409403e-06,0.22410396419105036
0,50,34,8,4,0.0002526077732909471,0.0002884469286072999,0.00027182139456272125,3.5839155316352844e-05,1.9213621271774173e-05,1.662553404457867e-05,1.1502289453346748e-05,0.4638930214126085
0,50,34,8,6,0.0002526077732909471,0.0002884469286072999,0.0002623432665131986,3.5839155316352844e-05,9.735493222251534e-06,2.610366209410131e-05,2.4089351427392103e-05,0.728355952133465
0,50,18,16,4,0.00015474770043510944,0.0002483951975591481,0.00023051291645970196,9.364749712403864e-05,7.576521602459252e-05,1.7882281099446118e-05,1.1502289453346748e-05,0.1909531129888133
0,50,18,16,8,0.00015474770043510944,0.0002483951975591481,0.00020961754489690065,9.364749712403864e-05,5.486984446179122e-05,3.877765266224742e-05,3.990951518062502e-05,0.4140810363664645
0,50,18,16,12,0.00015474770043510944,0.0002483951975591481,0.0001847939711296931,9.364749712403864e-05,3.0046270694583654e-05,6.360122642945498e-05,7.788373477524146e-05,0.679155646255163
0,40,32,4,1,0.00023920300009194762,0.00025945715606212616,0.00025459908647462726,2.0254155970178545e-05,1.539608638267964e-05,4.858069587498903e-06,8.041926662372134e-07,0.23985544471227246
0,40,32,4,2,0.00023920300009194762,0.00025945715606212616,0.0002496048400644213,2.0254155970178545e-05,1.0401839972473681e-05,9.852315997704864e-06,3.145699565720861e-06,0.48643429092829354
0,40,32,4,3,0.00023920300009194762,0.00025945715606212616,0.0002445887657813728,2.0254155970178545e-05,5.38576568942517e-06,1.4868390280753374e-05,6.897766979818698e-06,0.7340908356114682
0,40,24,8,2,0.0001903205265989527,0.00023660082661081105,0.00022645619173999876,4.6280300011858344e-05,3.613566514104605e-05,1.0144634870812297e-05,3.145699565720861e-06,0.21919985108594692
0,40,24,8,4,0.0001903205265989527,0.00023660082661081105,0.00021548215590883046,4.6280300011858344e-05,2.5161629309877753e-05,2.111867070198059e-05,1.1933982932532672e-05,0.45632095506229176
0,40,24,8,6,0.0001903205265989527,0.00023660082661081105,0.00020345950906630605,4.6280300011858344e-05,1.3138982467353344e-05,3.3141317544505e-05,2.5501212803646922e-05,0.7160998856103621
0,40,8,16,4,9.328449232270941e-05,0.00022018878371454775,0.00019769348728004843,0.00012690429139183834,0.00010440899495733902,2.2495296434499323e-05,1.1933982932532672e-05,0.1772619049188913
0,40,8,16,8,9.328449232270941e-05,0.00022018878371454775,0.00017044351261574775,0.00012690429139183834,7.715902029303834e-05,4.9745271098800004e-05,4.305593392928131e-05,0.39199045637631835
0,40,8,16,12,9.328449232270941e-05,0.00022018878371454775,0.00013685350131709129,0.00012690429139183834,4.3569008994381875e-05,8.333528239745647e-05,8.685836655786261e-05,0.6566782059413954
1,90,82,4,1,0.002952911891043186,0.0031629870645701885,0.0030944363679736853,0.00021007517352700233,0.00014152447693049908,6.855069659650326e-05,9.201962711813394e-06,0.32631507781518976
1,90,82,4,2,0.002952911891043186,0.0031629870645701885,0.0030409013852477074,0.00021007517352700233,8.798949420452118e-05,0.00012208567932248116,3.08708222291898e-05,0.5811523431005934
1,90,82,4,3,0.002952911891043186,0.0031629870645701885,0.0029932872857898474,0.00021007517352700233,4.0375394746661186e-05,0.00016969977878034115,5.991972648189403e-05,0.8078050153724068
1,90,74,8,2,0.0015341761754825711,0.0017359816702082753,0.0016648528398945928,0.0002018054947257042,0.00013067666441202164,7.112883031368256e-05,3.08708222291898e-05,0.35246230738346096
1,90,74,8,4,0.0015341761754825711,0.0017359816702082753,0.0016113549936562777,0.0002018054947257042,7.717881817370653e-05,0.00012462667655199766,9.326214785687625e-05,0.617558390674106
1,90,74,8,6,0.0015341761754825711,0.0017359816702082753,0.0015690439613536,0.0002018054947257042,3.48677858710289e-05,0.0001669377088546753,0.00016618898371234536,0.8272208300451803
1,90,58,16,4,0.0006777363596484065,0.0008836996275931597,0.0008082746062427759,0.00020596326794475317,0.0001305382465943694,7.542502135038376e-05,9.326214785687625e-05,0.3662061789125209
1,90,58,16,8,0.0006777363596484065,0.0008836996275931597,0.0007566864951513708,0.00020596326794475317,7.895013550296426e-05,0.0001270131324417889,0.00024113278777804226,0.6166785646257004
1,90,58,16,12,0.0006777363596484065,0.0008836996275931597,0.0007150027086026967,0.00020596326794475317,3.726634895429015e-05,0.00016869691899046302,0.0003826518077403307,0.8190631304010658
1,50,42,4,1,0.00038589522591792047,0.0004221992858219892,0.0004131486057303846,3.630405990406871e-05,2.7253379812464118e-05,9.05068009160459e-06,9.352999086331693e-07,0.2493021473499236
1,50,42,4,2,0.00038589522591792047,0.0004221992858219892,0.0004041238862555474,3.630405990406871e-05,1.8228660337626934e-05,1.8075399566441774e-05,3.6462638490775134e-06,0.49788920617156673
1,50,42,4,3,0.00038589522591792047,0.0004221992858219892,0.00039488382753916085,3.630405990406871e-05,8.988601621240377e-06,2.731545828282833e-05,7.992912287591025e-06,0.7524078121016708
1,50,34,8,2,0.0002923420106526464,0.0003693974867928773,0.0003498123842291534,7.70554761402309e-05,5.747037357650697e-05,1.9585102563723922e-05,3.6462638490775134e-06,0.2541688604724419
1,50,34,8,4,0.0002923420106526464,0.0003693974867928773,0.0003303063567727804,7.70554761402309e-05,3.7964346120133996e-05,3.90911300200969e-05,1.3823979315930046e-05,0.5073115108516901
1,50,34,8,6,0.0002923420106526464,0.0003693974867928773,0.0003110487596131861,7.70554761402309e-05,1.87067489605397e-05,5.8348727179691195e-05,2.9424769309116527e-05,0.7572301165656824
1,50,18,16,4,0.00015563855413347483,0.000315801560645923,0.00027194060385227203,0.0001601630065124482,0.00011630204971879721,4.3860956793650985e-05,1.3823979315930046e-05,0.27385198210700434
1,50,18,16,8,0.00015563855413347483,0.000315801560645923,0.00023035830236040056,0.0001601630065124482,7.471974822692573e-05,8.544325828552246e-05,4.936003460898064e-05,0.5334768630163148
1,50,18,16,12,0.00015563855413347483,0.000315801560645923,0.00019199575763195753,0.0001601630065124482,3.6357203498482704e-05,0.0001238058030139655,9.829486953094602e-05,0.7729987449027005
1,40,32,4,1,0.00027126469649374485,0.0003095929860137403,0.000299853301839903,3.832828951999545e-05,2.8588605346158147e-05,9.739684173837304e-06,9.513448162579152e-07,0.25411215308098256
1,40,32,4,2,0.00027126469649374485,0.0003095929860137403,0.00029030509176664054,3.832828951999545e-05,1.9040395272895694e-05,1.9287894247099757e-05,3.720926315509132e-06,0.5032286723110216
1,40,32,4,3,0.00027126469649374485,0.0003095929860137403,0.00028074398869648576,3.832828951999545e-05,9.479292202740908e-06,2.8848997317254543e-05,8.172791240212973e-06,0.7526815748509814
1,40,24,8,2,0.00019975726900156587,0.0002777604095172137,0.00025732661015354097,7.800314051564783e-05,5.7569341151975095e-05,2.0433799363672733e-05,3.720926315509132e-06,0.2619612393628383
1,40,24,8,4,0.00019975726900156587,0.0002777604095172137,0.0002374423638684675,7.800314051564783e-05,3.7685094866901636e-05,4.031804564874619e-05,1.4186859516485129e-05,0.5168772100997419
1,40,24,8,6,0.00019975726900156587,0.0002777604095172137,0.00021817673405166715,7.800314051564783e-05,1.841946505010128e-05,5.958367546554655e-05,3.035541703866329e-05,0.7638625197865432
1,40,8,16,4,9.449494973523542e-05,0.00025839736917987466,0.0002183810283895582,0.00016390241944463924,0.00012388607865432277,4.001634079031646e-05,1.4186859516485129e-05,0.24414734648766212
1,40,8,16,8,9.449494973523542e-05,0.00025839736917987466,0.00018092678510583937,0.00016390241944463924,8.643183537060395e-05,7.747058407403529e-05,5.117032560519874e-05,0.4726628462016222
1,40,8,16,12,9.449494973523542e-05,0.00025839736917987466,0.00014215486589819193,0.00016390241944463924,4.7659916162956506e-05,0.00011624250328168273,0.00010223459685221314,0.7092177386737453
2,90,82,4,1,0.0026737970765680075,0.0028321135323494673,0.002781529212370515,0.0001583164557814598,0.0001077321358025074,5.058431997895241e-05,8.333035111718345e-06,0.319513974269226
2,90,82,4,2,0.0026737970765680075,0.0028321135323494673,0.0027405796572566032,0.0001583164557814598,6.678258068859577e-05,9.153387509286404e-05,2.787954690575134e-05,0.578170314899024
2,90,82,4,3,0.0026737970765680075,0.0028321135323494673,0.0027055044192820787,0.0001583164557814598,3.1707342714071274e-05,0.00012660911306738853,5.3956340707372874e-05,0.7997217499749987
2,90,74,8,2,0.0014064779970794916,0.0015554149867966771,0.0015027433400973678,0.0001489369897171855,9.626534301787615e-05,5.267164669930935e-05,2.787954690575134e-05,0.35365053905901317
2,90,74,8,4,0.0014064779970794916,0.0015554149867966771,0.0014644383918493986,0.0001489369897171855,5.7960394769907e-05,9.09765949472785e-05,8.375292964046821e-05,0.610839490713709
2,90,74,8,6,0.0014064779970794916,0.0015554149867966771,0.0014332651626318693,0.0001489369897171855,2.67871655523777e-05,0.0001221498241648078,0.0001486582768848166,0.8201443066410601
2,90,58,16,4,0.0006601852946914732,0.0007995658670552075,0.0007527772686444223,0.00013938057236373425,9.259197395294905e-05,4.67885984107852e-05,8.375292964046821e-05,0.3356895270072749
2,90,58,16,8,0.0006601852946914732,0.0007995658670552075,0.0007195728830993176,0.00013938057236373425,5.9387588407844305e-05,7.999298395588994e-05,0.00021511464728973806,0.5739177462059519
2,90,58,16,12,0.0006601852946914732,0.0007995658670552075,0.0006894920952618122,0.00013938057236373425,2.9306800570338964e-05,0.00011007377179339528,0.00033942473237402737,0.7897353980305194
2,50,42,4,1,0.0004103907849639654,0.0004467475228011608,0.0004379234160296619,3.6356737837195396e-05,2.7532631065696478e-05,8.824106771498919e-06,9.56423946263385e-07,0.24270898040998776
